Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2579745414.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809091522,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809091522,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3022319832.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3022319832.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2579745414.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2579745414.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809091522,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809091522,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3022319832.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3022319832.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2579745414.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2579745414.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.9,0.9,0.0,0.9,0,0,2809091522,2579745414.000000,0.000000,10,.,.,4.000000,5.000000,,0.8,9,.,.,3.000000,5.000000,,0.6,1,.,.,1.000000,0.000000,,,10,.,.,5.000000,5.000000,,1.0,9,.,.,4.000000,5.000000,,0.8,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.9,0.9,0.0,0.9,0,0,2809091522,2579745414.000000,0.000000,10,.,.,4.000000,5.000000,,0.8,9,.,.,3.000000,5.000000,,0.6,1,.,.,1.000000,0.000000,,,10,.,.,5.000000,5.000000,,1.0,9,.,.,4.000000,5.000000,,0.8,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3022319832.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3022319832.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,TS_contained,ALL,*,QUAL,*,0.9,0.9,0.0,0.9,0,0,2579745414.000000,2579745414.000000,0.000000,10,.,.,4.000000,5.000000,,0.8,9,.,.,3.000000,5.000000,,0.6,1,.,.,1.000000,0.000000,,,10,.,.,5.000000,5.000000,,1.0,9,.,.,4.000000,5.000000,,0.8,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,
