Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.9727889999999999,0.8787879999999999,0.14948499999999998,0.9234020000000001,1,10,2809091522,2580704662.000000,0.000000,294,.,.,166.000000,121.000000,,1.371900826446281,286,.,.,160.000000,120.000000,,1.3333333333333333,8,.,.,6.000000,1.000000,,6.0,388,.,.,231.000000,150.000000,,1.54,290,.,.,168.000000,120.000000,,1.4,40,.,.,30.000000,9.000000,,3.3333333333333335,58,.,.,33.000000,21.000000,,1.5714285714285714
INDEL,*,*,ALL,*,QUAL,0.000000,0.9727889999999999,0.8787879999999999,0.14948499999999998,0.9234020000000001,1,10,2809091522,2580704662.000000,0.000000,294,.,.,.,.,,,286,.,.,.,.,,,8,.,.,.,.,,,388,.,.,.,.,,,290,.,.,.,.,,,40,.,.,.,.,,,58,.,.,.,.,,
INDEL,*,*,ALL,*,QUAL,10.200000,0.9727889999999999,0.8784190000000001,0.145455,0.923199,1,10,2809091522,2580704662.000000,0.000000,294,.,.,.,.,,,286,.,.,.,.,,,8,.,.,.,.,,,385,.,.,.,.,,,289,.,.,.,.,,,40,.,.,.,.,,,56,.,.,.,.,,
INDEL,*,*,ALL,*,QUAL,12.700000,0.965986,0.878049,0.143603,0.9199209999999999,1,10,2809091522,2580704662.000000,0.000000,294,.,.,.,.,,,284,.,.,.,.,,,10,.,.,.,.,,,383,.,.,.,.,,,288,.,.,.,.,,,40,.,.,.,.,,,55,.,.,.,.,,
INDEL,*,*,ALL,*,QUAL,14.100000,0.965986,0.880734,0.143979,0.921392,1,9,2809091522,2580704662.000000,0.000000,294,.,.,.,.,,,284,.,.,.,.,,,10,.,.,.,.,,,382,.,.,.,.,,,288,.,.,.,.,,,39,.,.,.,.,,,55,.,.,.,.,,
INDEL,*,*,ALL,*,QUAL,15.300000,0.965986,0.8861540000000001,0.14473699999999998,0.92435,1,7,2809091522,2580704662.000000,0.000000,294,.,.,.,.,,,284,.,.,.,.,,,10,.,.,.,.,,,380,.,.,.,.,,,288,.,.,.,.,,,37,.,.,.,.,,,55,.,.,.,.,,
INDEL,*,*,ALL,*,QUAL,16.299999,0.965986,0.8861540000000001,0.14248,0.92435,1,7,2809091522,2580704662.000000,0.000000,294,.,.,.,.,,,284,.,.,.,.,,,10,.,.,.,.,,,379,.,.,.,.,,,288,.,.,.,.,,,37,.,.,.,.,,,54,.,.,.,.,,
INDEL,*,*,ALL,*,QUAL,17.100000,0.965986,0.8888889999999999,0.14285699999999998,0.9258350000000001,1,7,2809091522,2580704662.000000,0.000000,294,.,.,.,.,,,284,.,.,.,.,,,10,.,.,.,.,,,378,.,.,.,.,,,288,.,.,.,.,,,36,.,.,.,.,,,54,.,.,.,.,,
INDEL,*,*,ALL,*,QUAL,17.700001,0.965986,0.8888889999999999,0.140584,0.9258350000000001,1,7,2809091522,2580704662.000000,0.000000,294,.,.,.,.,,,284,.,.,.,.,,,10,.,.,.,.,,,377,.,.,.,.,,,288,.,.,.,.,,,36,.,.,.,.,,,53,.,.,.,.,,
INDEL,*,*,ALL,*,QUAL,18.299999,0.965986,0.8888889999999999,0.138298,0.9258350000000001,1,7,2809091522,2580704662.000000,0.000000,294,.,.,.,.,,,284,.,.,.,.,,,10,.,.,.,.,,,376,.,.,.,.,,,288,.,.,.,.,,,36,.,.,.,.,,,52,.,.,.,.,,
